SA1 (UR),"Oceania and Antarctica, nfd",New Zealand,Melanesia,Micronesia,Polynesia (excludes Hawaii),Antarctica,"North-West Europe, nfd","United Kingdom, Channel Islands and Isle of Man",Ireland,Western Europe,Northern Europe,"Southern and Eastern Europe, nfd",Southern Europe,South Eastern Europe,Eastern Europe,"North Africa and the Middle East, nfd",North Africa,Middle East,"South-East Asia, nfd",Mainland South-East Asia,Maritime South-East Asia,"North-East Asia, nfd",Chinese Asia (includes Mongolia),Japan and the Koreas,"Southern and Central Asia, nfd",Southern Asia,Central Asia,"Americas, nfd",Northern America,South America,Central America,Caribbean,"Sub-Saharan Africa, nfd",Central and West Africa,Southern and East Africa,Supplementary codes,Not stated,Total
20604150424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20604150425,0,0,0,0,0,0,0,4,5,10,0,0,0,0,3,0,0,8,0,22,54,0,64,19,0,35,0,0,5,6,0,0,0,0,0,0,20,251
20604150426,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,98,0,251,20,0,16,0,0,4,5,0,0,0,0,4,0,28,469
20604150427,0,9,0,0,0,0,0,5,9,0,3,0,0,0,8,0,0,13,0,50,173,0,144,14,0,43,0,0,7,7,0,0,0,0,5,0,48,527
20604150428,0,5,0,0,0,0,0,8,0,0,0,0,0,6,0,0,0,5,0,17,33,0,27,8,0,31,0,0,0,14,0,0,0,0,5,6,24,195
20604150429,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,11,27,0,24,7,0,37,0,0,0,10,0,0,0,0,3,0,16,141
20604150430,0,6,0,0,0,0,0,12,0,6,0,0,0,3,5,0,0,5,0,33,49,0,32,8,0,78,0,0,7,5,0,0,0,0,5,3,66,309
20604150431,0,10,0,0,0,0,0,14,0,3,0,0,12,0,0,0,6,21,0,26,71,0,53,12,0,73,0,0,7,23,0,0,0,0,10,0,33,377
20604150432,0,10,0,0,0,0,0,8,0,4,5,0,3,0,0,0,0,4,0,62,91,0,173,40,0,38,0,0,9,7,0,0,0,0,0,0,154,620
20604150433,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,4,0,20,77,0,64,26,0,20,0,0,0,15,0,0,0,0,0,0,10,243
20604150434,0,10,0,0,0,0,0,3,0,7,0,0,3,3,4,0,0,15,0,48,141,0,144,17,0,113,0,0,5,10,0,0,0,0,5,0,48,584
20604150501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,29
20604150502,0,13,0,0,0,0,0,3,0,7,0,0,3,0,0,0,0,5,0,38,47,0,46,21,0,93,4,0,3,21,0,0,0,0,3,0,49,353
20604150503,0,12,0,0,5,0,0,18,0,10,0,0,0,6,0,0,0,9,0,14,43,0,74,11,0,23,0,0,5,7,0,0,0,0,0,0,18,259
20604150504,0,38,0,0,4,0,0,26,4,17,3,0,27,10,18,0,3,52,0,257,357,0,629,142,0,388,0,0,13,144,3,0,0,4,25,4,348,2517
20604150505,0,13,0,0,0,0,0,7,3,4,0,0,4,0,0,0,0,11,0,48,106,0,141,28,0,83,0,0,0,26,0,0,0,0,7,0,31,516
20604150506,0,8,0,0,0,0,0,5,0,4,0,0,3,0,5,0,4,12,0,33,50,0,33,4,0,41,3,0,6,8,0,0,0,0,5,0,29,246
20604150507,0,3,0,3,0,0,0,11,0,0,0,0,6,0,0,0,0,8,0,37,71,0,150,23,0,84,0,0,7,26,4,0,0,0,12,0,48,487
20604150508,0,4,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,3,0,9,12,0,12,0,0,7,0,0,9,0,0,0,0,0,0,0,19,105
20604150509,0,4,0,0,0,0,0,6,0,6,0,0,3,3,6,0,0,8,0,10,55,0,48,15,0,116,0,0,3,25,0,0,0,0,6,0,38,361
20604150510,0,14,0,0,0,0,0,6,0,7,3,0,10,0,6,0,0,14,0,22,57,0,108,4,0,31,0,0,10,7,5,0,0,0,0,0,68,365
20604150511,0,19,0,0,0,0,0,13,0,3,0,0,0,5,0,0,0,3,0,22,26,0,17,9,0,29,0,0,15,10,0,0,0,0,4,0,38,221
20604150512,0,10,0,0,0,0,0,12,0,10,0,0,8,4,4,0,0,15,0,84,111,0,181,31,0,134,0,0,8,35,0,0,0,0,8,0,52,708
20604150513,0,12,0,0,0,0,0,8,0,10,0,0,0,3,0,0,0,7,0,24,48,0,45,11,0,80,0,0,7,20,0,0,0,0,4,0,15,304
20604150514,0,16,0,0,0,0,0,14,0,4,0,0,6,0,0,0,0,4,0,39,58,0,160,13,0,50,0,0,9,19,4,0,0,0,3,0,18,437
20604150515,0,11,0,0,0,0,0,9,0,9,0,0,8,6,0,0,0,0,0,5,24,0,3,3,0,22,0,0,0,8,0,0,0,0,4,0,8,112
20604150516,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,26,23,0,26,9,0,45,0,0,3,7,0,0,0,0,0,0,0,168
20604150517,0,3,0,0,0,0,0,5,0,3,0,0,9,0,4,0,5,4,0,32,54,0,80,19,0,58,0,0,5,16,3,0,0,0,0,0,30,315
